名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
电建地产云立方,龙泉驿大面,"成龙大道与龙城大道交汇处云立方,龙城大道816号",14971,塔板结合,4529户,15栋,商品房/使用权/私产,2013-2021年 ,1.85至3元/平米/月,成都五兴物业管理有限公司,中国电力建设集团房地产（成都）有限公司
世茂城四期（世茂城东区）,龙泉驿大面,龙泉驿区大面镇天鹅西湖南路456号1栋1层15号,16678,塔楼,490户,4栋,商品房/使用权/私产,2015年 ,1.8至2.14元/平米/月,暂无信息,上海世茂置业发展有限公司
龙华二期D区,龙泉驿大面,荷华东路60号,9962,板楼/塔板结合,3456户,10栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,1.1元/平米/月,业主自筹物业,无开发商
万科金色城市二期,龙泉驿大面,大面镇行政学院旁,17720,塔板结合,1862户,7栋,商品房,2016-2017年 ,2.5至6.8元/平米/月,成都万科物业管理有限公司,成都万科龙锦置业有限公司
新希望锦麟府,龙泉驿大面,西四路177号,21234,塔楼/板楼/塔板结合,2463户,42栋,商品房,2021年 ,2.6至4.8元/平米/月,四川鼎晟物业有限公司,新希望集团有限公司
蓝光公园华府,龙泉驿大面,成龙大道金枫路,19461,板楼/塔板结合,1026户,10栋,商品房/私产,2012-2021年 ,3至3.3元/平米/月,业主自筹物业,成都龙泉驿蓝光和骏置业有限公司
琥珀庭院,龙泉驿大面,南一路2666号,18686,塔楼/板楼,1269户,11栋,商品房/经济适用房/使用权,2011-2018年 ,1.8元/平米/月,业主自筹物业,成都帝景兴业房地产开发有限公司
卧龙谷壹号,龙泉驿大面,东四环·卧龙谷,25789,板楼,2344户,47栋,商品房,2018-2022年 ,3至4.5元/平米/月,成都万科物业管理有限公司,成都盛世房地产开发有限公司
银河花园二期,龙泉驿大面,银河路179号,11289,板楼/塔板结合,507户,4栋,商品房,2007-2015年 ,1至1.2元/平米/月,暂无信息,四川省银河投资集团有限公司
嶺尚,龙泉驿大面,五星街27号,10370,塔楼,226户,2栋,商品房,2014-2016年 ,1.35元/平米/月,暂无信息, 陕西亿润经贸有限公司 
首创万卷山,龙泉驿大面,青台山村五组首创万卷山,14930,板楼/塔板结合,4789户,25栋,商品房/使用权,2008-2017年 ,1.8至2元/平米/月,北京首万物业服务有限公司成都分公司,成都首创驿都置业有限公司
炜岸城一期,龙泉驿大面,金枫路炜岸城一期,19282,塔楼/板楼/塔板结合,4138户,72栋,商品房/使用权/私产,2010-2018年 ,1.9至4.5元/平米/月,暂无信息,四川炜岸房地产开发有限公司
龙城1号,龙泉驿大面,"龙城大道1号, 青台山路860号",18153,塔楼/板楼/塔板结合/平房,5084户,69栋,商品房/已购公房/限价商品房/使用权/私产,2008-2015年 ,1.29至5.2元/平米/月,成都安达祥和置业有限公司,成都志达房地产开发有限公司
龙华二期B区,龙泉驿大面,荷华中路59号,9366,板楼,2376户,8栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,0.5至1.2元/平米/月,业主自筹物业,无开发商
悦龙山,龙泉驿大面,车城西五路99号,15663,塔楼/塔板结合,4301户,11栋,商品房/私产/新居工程房,-1-2020年 ,2至4元/平米/月,成都金茂物业管理有限公司,四川联森兴业有限公司
万科金色城市,龙泉驿大面,"东三环（地铁2号线成都行政学院站斜对面）, 翠柳街166号",17806,塔板结合,1909户,9栋,商品房,2015-2017年 ,2.5至3元/平米/月,成都万科物业有限公司,成都万科龙锦置业有限公司
龙华二期C区,龙泉驿大面,荷华东路60号,9485,塔楼,2420户,8栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,1.2元/平米/月,业主自筹物业,无开发商
龙华二期A区,龙泉驿大面,经开区南二路3611号,9439,板楼,3132户,7栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,1.2元/平米/月,业主自筹物业,无开发商
洪柳花园二期,龙泉驿大面,琼花街510号,10675,塔楼,324户,2栋,商品房,2010-2019年 ,暂无信息,暂无信息,暂无信息
东方怡景,龙泉驿大面,金地路121号,9264,塔楼/板楼/塔板结合/平房,294户,8栋,商品房,2001-2015年 ,0.5至0.6元/平米/月,成都东方希望物业服务有限公司,东方海外
金色海岸,龙泉驿大面,金地路189号,11181,塔板结合,177户,2栋,商品房,2007-2015年 ,1.2元/平米/月,成都万科物业服务有限公司,万科
银河花园,龙泉驿大面,大面街道银河路188号,10239,板楼,844户,17栋,商品房,2006年 ,0.6至0.8元/平米/月,成都市银河物业发展有限公司,四川省银河投资集团有限公司
洪柳花园一期,龙泉驿大面,"柳树南街77号,洪河镇柳树南街93号",9244,塔楼,282户,9栋,商品房/拆迁安置房,2005-2015年 ,0.6元/平米/月,暂无信息,成都市龙泉驿区国有资产投资有限公司
五星蕊园,龙泉驿大面,"八一大路五星蕊园,蒲青路1845号",10494,塔楼/板楼/塔板结合,2286户,10栋,商品房/经济适用房/拆迁安置房,2015-2022年 ,0.5元/平米/月,暂无信息,新乡市五星置业房产开发公司
德商蜜柚,龙泉驿大面,"车城西四路德商蜜柚,2666号",7374,塔楼/板楼/塔板结合,2283户,8栋,商品房/使用权,2018-2020年 ,3.6元/平米/月,暂无信息,成都帝景兴业房地产开发有限公司
楠博苑五期,龙泉驿大面,八一大路111号,10110,板楼,1129户,5栋,商品房/拆迁安置房,1995-2020年 ,0.5元/平米/月,小区物业,成都通合置业
电建地产云立方,龙泉驿大面,"成龙大道与龙城大道交汇处云立方,龙城大道816号",14971,塔板结合,4529户,15栋,商品房/使用权/私产,2013-2021年 ,1.85至3元/平米/月,成都五兴物业管理有限公司,中国电力建设集团房地产（成都）有限公司
天府逸家一期,龙泉驿大面,"金枫路与青台山路交叉口西150米,金槐街258号",14640,塔楼/塔板结合,2199户,10栋,商品房/使用权/私产,2010-2018年 ,2至6元/平米/月,暂无信息,成都市永平置业有限公司
锦和康城·康泰苑,龙泉驿大面,成都市龙泉驿区大面街道重阳木路417号,13675,塔板结合,835户,4栋,商品房/限价商品房,2020年 ,1.4元/平米/月,成都人居置业物业管理有限公司,暂无信息
中国铁建国际城,龙泉驿大面,大面镇驿都西路3777号,14443,塔楼/板楼/塔板结合,2662户,12栋,商品房/限价商品房,2013-2016年 ,1.7至3.4元/平米/月,中铁建（成都）物业管理有限公司,成都中铁置业有限公司
洪柳花园三期,龙泉驿大面,龙泉驿区红枫街30号,12076,塔板结合,343户,8栋,商品房/拆迁安置房,2009-2019年 ,1.2元/平米/月,暂无信息,成都市龙泉驿区国有资产投资有限公司
新希望锦麟府,龙泉驿大面,西四路177号,21234,塔楼/板楼/塔板结合,2463户,42栋,商品房,2021年 ,2.6至4.8元/平米/月,四川鼎晟物业有限公司,新希望集团有限公司
龙华二期D区,龙泉驿大面,荷华东路60号,9962,板楼/塔板结合,3456户,10栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,1.1元/平米/月,业主自筹物业,无开发商
