andingmen,国祥胡同4号院,(东城安定门)国祥胡同4号院,140959,5,30天成交0套,3套正在出租,板楼,123户,2栋,10%,2,暂无信息,暂无信息,商品房/已购公房/私产,1978-1988年 ,集中供暖,暂无信息,"[116.404412,39.952825]","116.406839,39.957783",青年湖新店青年湖新店/北京市东城区安德路甲10号3号楼1层102,业主自筹物业,无开发商,https://bj.lianjia.com/xiaoqu/1111027374745/
andingmen,官书院,(东城安定门)永康胡同2号院,136682,7,30天成交0套,6套正在出租,板楼,486户,7栋,35%,2.41,暂无信息,暂无信息,商品房/已购公房/私产,1998-2003年 ,集中供暖,2.53元/平米/月,"[116.416828,39.952781]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,北京兰基物业管理有限公司,北京天石恒房地产开发有限公司,https://bj.lianjia.com/xiaoqu/1111027374707/
andingmen,大格巷,(东城安定门)大格巷,195179,1,30天成交0套,1套正在出租,平房,87户,23栋,25%,2.4,暂无信息,暂无信息,商品房/私产,1980-2016年 ,自采暖,暂无信息,"[116.416916,39.952631]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,无物业管理服务,无开发商,https://bj.lianjia.com/xiaoqu/1111027376886/
andingmen,京宝花园,(东城安定门)安定门外大街,77567,2,30天成交0套,1套正在出租,板楼,350户,1栋,20%,1.82,暂无信息,暂无信息,商品房/私产,1994-1997年 ,集中供暖,3.88元/平米/月,"[116.413922,39.959865]","116.413128,39.960523",青年湖东里店青年湖东里店/东城区青年湖公园东门1号楼,北京宝景物业管理有限公司,北京首开天鸿集团有限公司,https://bj.lianjia.com/xiaoqu/1111027376991/
andingmen,车辇店胡同,(东城安定门)车辇店胡同,119483,3,30天成交0套,1套正在出租,板楼/塔板结合/平房,416户,18栋,30%,5,暂无信息,暂无信息,商品房/已购公房/二类经济适用房/私产,1985-2003年 ,集中供暖/自采暖,1.1元/平米/月,"[116.410619,39.95174]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,无物业管理服务,北京京湘房地产开发有限责任公司,https://bj.lianjia.com/xiaoqu/1111027376493/
andingmen,柴棒胡同,(东城安定门)柴棒胡同,208662,5,30天成交0套,1套正在出租,平房,181户,27栋,暂无信息,暂无信息,暂无信息,暂无信息,商品房/私产,1950-2021年 ,自采暖,暂无信息,"[116.414122,39.952623]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,无物业管理服务,无开发商,https://bj.lianjia.com/xiaoqu/1111027376325/
andingmen,凯景铭座,(朝阳安定门)外馆东街51号院,75294,3,30天成交0套,0套正在出租,塔楼/塔板结合,290户,2栋,20%,2,暂无信息,暂无信息,商品房/已购公房/私产,2001年 ,集中供暖,2.63至2.68元/平米/月,"[116.410216,39.968706]","116.413777,39.968581",安外大街店安外大街店/朝阳安华里四区14号楼1 2,北京均豪物业管理有限责任公司,北京强佑房地产开发有限公司,https://bj.lianjia.com/xiaoqu/1111027377631/
andingmen,净土胡同,(东城安定门)净土胡同,295000,1,30天成交0套,0套正在出租,平房,220户,55栋,暂无信息,暂无信息,暂无信息,暂无信息,商品房/央产房/私产,1953-2000年 ,自采暖,暂无信息,"[116.40836,39.95216]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,无物业管理服务,无开发商,https://bj.lianjia.com/xiaoqu/1111027377399/
anzhen1,华世隆国际公寓,(东城安贞)北三环东路37号,53902,1,30天成交0套,2套正在出租,塔楼,151户,2栋,35%,2.5,暂无信息,暂无信息,商品房/私产,2001年 ,自采暖,4元/平米/月,"[116.415189,39.975856]","116.417533,39.979119",国典华园南门店国典华园南门店/北京市朝阳区胜古中路甲一号院4号楼400803,北京中道物业管理有限公司,北京首元房地产开发有限公司,https://bj.lianjia.com/xiaoqu/1111027375277/
anzhen1,豪威家园,(朝阳安贞)和平街,81047,3,30天成交0套,1套正在出租,板楼,206户,1栋,35%,3,暂无信息,暂无信息,商品房/私产,2002年 ,集中供暖,1.65元/平米/月,"[116.424289,39.970682]","116.424599,39.971193",豪威家园B店豪威家园B店/朝阳区和平西苑20号楼c102号,北京乐都物业管理中心,北京豪威嘉业房地产开发有限公司,https://bj.lianjia.com/xiaoqu/1111027375345/
