名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
小黄庄一区,东城安贞,小黄庄一区,115348,板楼/塔板结合,1876户,11栋,暂无信息,暂无信息,1.37至3.6元/平米/月,单位自管物业,无开发公司
安华西里社区,朝阳安贞,安华西里一区,81271,塔楼/板楼/塔板结合,5879户,57栋,暂无信息,暂无信息,0.43至2.7元/平米/月,北京亿方物业管理有限责任公司,北京住总集团有限责任公司
安贞西里,朝阳安贞,"安贞西里二区, 安贞西里三区, 安贞西里四区, 安贞西里一区",79590,塔楼/板楼/塔板结合/平房,6311户,64栋,暂无信息,暂无信息,0.5至2.63元/平米/月,亿方物业,北京城建集团
安华里社区,朝阳安贞,"安华里一区, 安华里二区, 安华里三区, 安华里四区, 安华里五区",72785,塔楼/板楼/塔板结合/平房,6080户,63栋,暂无信息,暂无信息,0.58至4.2元/平米/月,北京东方容和物业管理有限责任公司,北京住总房地产开发有限责任公司
世纪金色嘉园,丰台北京南站,东滨河路2号院,71319,塔楼,1396户,3栋,暂无信息,暂无信息,1.98元/平米/月,北京京丰物业管理有限责任公司,北京世纪鸿房地产开发有限责任公司
鼎立水岸家园,丰台北京南站,右外大街56号院,77529,塔板结合,855户,3栋,暂无信息,暂无信息,1.98元/平米/月,北京鼎立家园物业管理有限公司,北京鼎立房地产开发有限公司
嘉特美公馆,丰台北京南站,"开阳里路3号, 开阳路3号院",84762,塔楼/板楼,236户,2栋,暂无信息,暂无信息,3.5元/平米/月,北京伯明物业管理有限公司 ,北京城建二建设工程有限公司
幸福路6号院,丰台北京南站,幸福路6号院,59535,板楼,250户,3栋,暂无信息,暂无信息,0.5元/平米/月,小区自持,无开发商
祥和苑,丰台北京南站,开阳里一街3号楼,64189,塔板结合,140户,1栋,暂无信息,暂无信息,1.8元/平米/月,单位自管物业,北京华能大厦建设管理有限责任公司
翠林二里,丰台北京南站,右安门外大街翠林二里,51261,板楼,2351户,17栋,暂无信息,暂无信息,0.5至1.5元/平米/月,优享翠林（北京）物业管理有限公司,北京城建集团有限责任公司
翠林三里,丰台北京南站,右安门外大街翠林三里,55080,板楼/塔板结合,1521户,14栋,暂无信息,暂无信息,0.5至1.2元/平米/月,北京华商北方物业管理有限公司,北京城建开发有限公司
车站路6号院,东城北京南站,永外车站路6号院,73211,板楼/平房,585户,6栋,暂无信息,暂无信息,0.8元/平米/月,无物业管理服务,无开发商
东滨河路2号院,丰台北京南站,东滨河路2号院,67097,板楼/塔板结合,614户,3栋,暂无信息,暂无信息,1至1.5元/平米/月,首华物业公司,无开发商
右外大街4号院,丰台北京南站,右安门外大街4号院,71938,塔楼,290户,2栋,暂无信息,暂无信息,1至1.02元/平米/月,北京益丰物业经营有限责任公司,北京晨昱泰和房地产开发有限公司
开阳里六区,丰台北京南站,开阳里三街开阳里六区,65257,塔楼/板楼,2305户,11栋,暂无信息,暂无信息,1.2至1.5元/平米/月,北京益丰物业经营有限责任公司,北京城市开发集团有限责任公司
开阳里八区,丰台北京南站,开阳里三街开阳里八区,67533,塔楼/板楼,634户,8栋,暂无信息,暂无信息,0.5至1.2元/平米/月,北京益丰物业经营有限责任公司,北京城市开发集团有限责任公司
开阳里四区,丰台北京南站,开阳里二街开阳里四区,65598,板楼,636户,4栋,暂无信息,暂无信息,0.5至0.52元/平米/月,街道办事处（委员会）代管物业,北京城市开发集团有限责任公司
开阳里二区,丰台北京南站,右外东三条,62811,板楼,702户,7栋,暂无信息,暂无信息,0.52元/平米/月,北京益丰物业经营有限责任公司,北京城市开发集团有限责任公司
开阳里三区,丰台北京南站,右外东3条,63148,塔楼/板楼/塔板结合,2439户,16栋,暂无信息,暂无信息,0.01至1.25元/平米/月,北京益丰物业经营有限责任公司,北京城市开发集团有限责任公司
迦南大厦,丰台北京南站,右安门外大街2号院,46188,塔楼,307户,3栋,暂无信息,暂无信息,2.36至2.39元/平米/月,北京安洁物业管理有限公司,北京安华房地产开发有限公司
开阳里五区,丰台北京南站,开阳里三街开阳里五区,76215,板楼,388户,3栋,暂无信息,暂无信息,0.52元/平米/月,街道办事处（委员会）代管物业,北京城市开发集团有限责任公司
开阳里一街,丰台北京南站,"开阳里一街, 东头条",64309,板楼/塔板结合,929户,6栋,暂无信息,暂无信息,0.52至1.7元/平米/月,首华物业公司,北京城市开发集团有限责任公司
开阳里七区,丰台北京南站,开阳里三街开阳里七区,66996,板楼,800户,6栋,暂无信息,暂无信息,0.52元/平米/月,北京益丰物业经营有限责任公司,北京城市开发集团有限责任公司
右外西庄,丰台北京南站,右外西庄,60083,板楼,293户,5栋,暂无信息,暂无信息,暂无信息,无物业管理服务,北京城建开发有限公司
右外22号院,丰台北京南站,右外22号院,64318,板楼,249户,3栋,暂无信息,暂无信息,0.52至0.53元/平米/月,街道办事处（委员会）代管物业,北京万馨房地产开发有限公司
右外东庄,丰台北京南站,"幸福路东庄, 右安门东庄",56311,塔楼/板楼/平房,2139户,22栋,暂无信息,暂无信息,0.5至2.63元/平米/月,首华物业公司,无开发商
开阳里东巷24号院,丰台北京南站,"开阳里东巷24号院, 开阳里东巷甲24号院, 右外西庄二街甲24号院",56849,板楼,288户,1栋,暂无信息,暂无信息,0.8元/平米/月,北京永乐居物业管理中心,无开发商
翠林一里,丰台北京南站,右安门外大街翠林一里,60745,塔楼/板楼,2126户,15栋,暂无信息,暂无信息,0.5至1.3元/平米/月,北京首华物业管理有限公司,北京城开股份有限公司
开阳里一区,丰台北京南站,开阳里一区,68189,板楼,1035户,9栋,暂无信息,暂无信息,0.52至1.7元/平米/月,北京益丰物业经营有限责任公司,北京城市开发集团有限责任公司
右安门外大街56号院,丰台北京南站,右安门外大街56号院,0,塔楼/塔板结合,360户,2栋,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
瀚海花园大厦,丰台北京南站,瀚海花园大厦,0,塔楼,208户,1栋,暂无信息,暂无信息,6元/平米/月,暂无信息,暂无信息
